date,barge_tonnes,rail_tonnes,road_tonnes,kaub_w_min_cm,kaub_days_below80_pct,total_demand_tonnes
2012-05-01,8612573,4855279,3899000,175.0,0.0,17366852
2012-06-01,8290636,4997919,4217000,199.0,0.0,17505555
2012-07-01,8638144,5264052,4390000,160.0,0.0,18292196
2012-08-01,7735797,4519767,3883000,115.0,0.0,16138564
2012-09-01,7867096,4431523,3923000,149.0,0.0,16221619
2012-10-01,9086399,5323683,4411000,158.0,0.0,18821082
2012-11-01,8529898,5031579,3876000,156.0,0.0,17437477
2012-12-01,7869766,5490484,2948000,208.0,0.0,16308250
2013-01-01,8309003,4771272,4176000,172.0,0.0,17256275
2013-02-01,8275652,5129540,3411000,200.0,0.0,16816192
2013-03-01,8928518,5229373,3954000,181.0,0.0,18111891
2013-04-01,9004089,5217392,4210000,172.0,0.0,18431481
2013-05-01,9174313,5419933,4202000,283.0,0.0,18796246
2013-06-01,8316944,5068802,3918000,316.0,0.0,17303746
2013-07-01,8481828,5648169,4438000,178.0,0.0,18567997
2013-08-01,8011656,4720676,3506000,124.0,0.0,16238332
2013-09-01,8673816,5112068,4415000,110.0,0.0,18200884
2013-10-01,9511605,5923328,3752000,148.0,0.0,19186933
2013-11-01,9078253,5354328,3923000,215.0,0.0,18355581
2013-12-01,8781561,4673983,3660000,144.0,0.0,17115544
2014-01-01,9208095,5231776,3700000,208.0,0.0,18139871
2014-02-01,8472976,5388610,3877000,174.0,0.0,17738586
2014-03-01,9090568,5758248,4142000,131.0,0.0,18990816
2014-04-01,8215408,5562090,3872000,108.0,0.0,17649498
2014-05-01,9241777,5574875,3818000,172.0,0.0,18634652
2014-06-01,7948343,4831302,3624000,110.0,0.0,16403645
2014-07-01,9064242,5584266,4308000,150.0,0.0,18956508
2014-08-01,8174715,4504193,3316000,211.0,0.0,15994908
2014-09-01,8270931,5104722,4034000,165.0,0.0,17409653
2014-10-01,8960808,5234802,4000000,133.0,0.0,18195610
2014-11-01,8927997,4744479,3703000,164.0,0.0,17375476
2014-12-01,8317962,4369245,3163000,138.0,0.0,15850207
2015-01-01,9165317,4536650,3313000,173.0,0.0,17014967
2015-02-01,8494911,4569413,3520000,163.0,0.0,16584324
2015-03-01,9562501,5130732,3996000,174.0,0.0,18689233
2015-04-01,8714119,4565284,3770000,188.0,0.0,17049403
2015-05-01,8030851,4153548,3373000,246.0,0.0,15557399
2015-06-01,8140134,5154996,3660000,200.0,0.0,16955130
2015-07-01,8543621,5393152,3895000,120.0,0.0,17831773
2015-08-01,8089141,4537422,3666000,89.0,0.0,16292563
2015-09-01,8007515,5072114,3784000,67.0,17.2,16863629
2015-10-01,8603502,4959471,4381000,67.0,19.3,17943973
2015-11-01,8529267,5204363,4022000,51.0,66.0,17755630
2015-12-01,8578437,4604419,3114000,79.0,0.0,16296856
2016-01-01,9071517,4384132,3396000,76.0,3.0,16851649
2016-02-01,8984316,4968123,3809000,227.0,0.0,17761439
2016-03-01,9426092,4835768,4150000,167.0,0.0,18411860
2016-04-01,8477294,4599814,3901000,190.0,0.0,16978108
2016-05-01,8832717,4399800,3956000,214.0,0.0,17188517
2016-06-01,8354171,4692475,4366000,406.0,0.0,17412646
2016-07-01,8594681,4345079,3386000,230.0,0.0,16325760
2016-08-01,8931532,4005626,3703000,150.0,0.0,16640158
2016-09-01,8208318,4507816,3850000,103.0,0.0,16566134
2016-10-01,7794137,4550198,3665000,68.0,27.1,16009335
2016-11-01,8697579,4607079,3976000,92.0,0.0,17280658
